Usia,Transaksi,Label,Gender
45,28,1,P
35,41,1,P
50,49,1,L
19,45,1,L
33,42,0,P
50,33,1,P
45,23,1,P
46,37,0,L
23,7,1,P
35,38,0,L
24,43,0,L
30,11,1,L
28,3,1,L
22,44,0,L
18,30,0,L
57,41,0,L
22,19,1,L
40,48,0,L
50,24,1,P
51,12,0,L
43,34,0,L
42,19,0,L
53,46,0,L
49,34,1,P
22,30,1,P
37,41,0,L
51,13,0,L
22,42,0,P
22,45,0,L
52,41,1,L
60,40,1,L
43,49,0,P
26,33,1,P
47,9,1,P
37,40,1,P
59,7,1,P
30,18,0,L
49,3,1,P
18,39,0,L
39,46,1,L
22,44,0,P
22,31,1,P
45,50,1,P
24,46,1,P
47,32,1,P
47,12,1,L
41,21,1,P
60,14,0,L
32,42,0,P
36,31,1,P
60,32,0,L
49,6,0,L
50,18,0,P
40,20,1,P
44,16,1,P
45,1,1,P
38,15,1,L
48,33,0,L
31,30,1,L
22,17,0,L
56,13,1,L
27,49,1,L
36,14,1,L
33,3,0,P
22,26,1,P
23,27,0,P
38,3,1,P
44,40,0,L
25,26,1,L
40,25,0,P
24,5,1,L
42,9,1,P
48,16,0,L
60,40,0,P
58,15,1,L
38,46,0,L
27,33,1,P
32,20,1,L
28,2,0,L
51,27,0,L
18,27,1,P
55,11,0,P
29,10,1,L
52,44,1,P
34,24,1,P
50,26,0,L
28,39,1,P
46,17,1,L
33,17,1,P
29,9,1,P
36,21,1,P
36,49,1,P
55,10,0,P
41,47,0,P
37,31,0,L
50,4,0,P
47,31,1,P
32,23,0,P
41,46,1,L
35,21,0,L
