Date,Price,Open,High,Low,Vol.,Change %
11/22/2024,"2,699.70","2,671.20","2,701.60","2,670.85",186.3,0.93
11/21/2024,"2,674.90","2,653.50","2,676.50","2,651.60",186.3,0.87
11/20/2024,"2,651.70","2,635.80","2,659.00","2,621.90",182.01,0.79
11/19/2024,"2,631.00","2,616.30","2,643.40","2,614.20",202.24,0.63
11/18/2024,"2,614.60","2,571.50","2,619.50","2,568.50",195.29,1.73
11/15/2024,"2,570.10","2,570.40","2,580.80","2,558.90",179.89,-0.11
11/14/2024,"2,572.90","2,578.10","2,585.80","2,541.50",266.16,-0.53
11/13/2024,"2,586.50","2,604.70","2,625.00","2,578.10",262.75,-0.76
11/12/2024,"2,606.30","2,625.70","2,633.40","2,595.70",282.77,-0.44
11/11/2024,"2,617.70","2,692.10","2,693.40","2,617.10",281.92,-2.86
11/08/2024,"2,694.80","2,713.60","2,717.80","2,687.30",233.11,-0.41
11/07/2024,"2,705.80","2,667.70","2,718.30","2,650.30",292.92,1.1
11/06/2024,"2,676.30","2,752.60","2,758.80","2,660.70",361.31,-2.67
11/05/2024,"2,749.70","2,746.00","2,759.50","2,733.40",151.43,0.13
11/04/2024,"2,746.20","2,743.50","2,757.50","2,739.40",145.25,-0.11
11/01/2024,"2,749.20","2,754.00","2,772.40","2,742.60",180.66,0
10/31/2024,"2,749.30","2,799.10","2,801.20","2,741.80",242.57,-1.84
10/30/2024,"2,800.80","2,786.90","2,801.80","2,782.40",191.55,1.16
10/29/2024,"2,768.80","2,741.90","2,773.20","2,741.90",0.85,0.92
10/28/2024,"2,743.60","2,739.40","2,745.60","2,725.80",0.57,0.05
10/25/2024,"2,742.20","2,735.40","2,747.20","2,716.90",0.26,0.21
10/24/2024,"2,736.50","2,717.40","2,743.30","2,717.40",0.34,0.71
10/23/2024,"2,717.10","2,748.90","2,758.50","2,709.90",0.65,-1.1
